Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
15,,,593016.738,4139610.266,323.926,node pt name -2,-79.94909133,37.39860247,323.926,Global,0.016,0.015,0.015,0.022,2.134,m,FIX,RTK,2026-05-28 13:38:54.0 UTC-04:00,2026-05-28 13:39:04.0 UTC-04:00,51,1.5,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,26.214,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
16,,,593017.160,4139612.222,324.058,node pt name -2,-79.94908632,37.39862006,324.058,Global,0.011,0.012,0.015,0.016,2.134,m,FIX,RTK,2026-05-28 13:39:24.8 UTC-04:00,2026-05-28 13:39:34.8 UTC-04:00,51,1.5,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,27.953,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
17,,,593017.554,4139614.178,324.216,node pt name -2,-79.94908162,37.39863764,324.216,Global,0.011,0.013,0.017,0.018,2.134,m,FIX,RTK,2026-05-28 13:39:55.4 UTC-04:00,2026-05-28 13:40:05.4 UTC-04:00,51,1.3,1.5,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,29.712,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
18,,,593017.975,4139616.137,324.360,node pt name -2,-79.94907662,37.39865526,324.360,Global,0.013,0.012,0.019,0.018,2.134,m,FIX,RTK,2026-05-28 13:40:33.0 UTC-04:00,2026-05-28 13:40:43.0 UTC-04:00,50,1.4,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,31.545,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
19,,,593018.403,4139618.061,324.439,node pt name -2,-79.94907154,37.39867256,324.439,Global,0.011,0.016,0.018,0.019,2.134,m,FIX,RTK,2026-05-28 13:41:16.2 UTC-04:00,2026-05-28 13:41:26.2 UTC-04:00,51,1.3,1.5,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,33.329,,WGS 84 / UTM zone 17N,7,6,8,7,0,Reach RS2+,82438197435961DD
20,,,593018.758,4139620.014,324.598,node pt name -2,-79.94906729,37.39869012,324.598,Global,0.012,0.014,0.015,0.018,2.134,m,FIX,RTK,2026-05-28 13:41:53.6 UTC-04:00,2026-05-28 13:42:03.6 UTC-04:00,51,1.6,1.9,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,35.189,,WGS 84 / UTM zone 17N,7,6,8,7,0,Reach RS2+,82438197435961DD
21,,,593019.180,4139621.991,324.694,node pt name -2,-79.94906226,37.39870790,324.694,Global,0.012,0.011,0.016,0.016,2.134,m,FIX,RTK,2026-05-28 13:44:59.2 UTC-04:00,2026-05-28 13:45:09.2 UTC-04:00,51,1.4,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,37.076,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
22,,,593019.590,4139623.986,324.881,node pt name -2,-79.94905739,37.39872583,324.881,Global,0.019,0.013,0.023,0.023,2.134,m,FIX,RTK,2026-05-28 13:45:21.0 UTC-04:00,2026-05-28 13:45:31.0 UTC-04:00,51,1.8,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,38.999,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
23,,,593019.954,4139625.876,324.993,node pt name -2,-79.94905303,37.39874283,324.993,Global,0.013,0.014,0.015,0.019,2.134,m,FIX,RTK,2026-05-28 13:45:43.8 UTC-04:00,2026-05-28 13:45:53.8 UTC-04:00,51,1.7,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,40.810,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
24,,,593020.349,4139627.855,325.081,node pt name -2,-79.94904833,37.39876063,325.081,Global,0.016,0.018,0.023,0.024,2.134,m,FIX,RTK,2026-05-28 13:46:07.4 UTC-04:00,2026-05-28 13:46:17.4 UTC-04:00,51,1.4,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,42.727,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
25,,,593020.797,4139629.796,325.096,node pt name -2,-79.94904302,37.39877807,325.096,Global,0.014,0.014,0.018,0.019,2.134,m,FIX,RTK,2026-05-28 13:46:31.0 UTC-04:00,2026-05-28 13:46:41.0 UTC-04:00,51,1.4,1.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,44.621,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
26,,,593021.163,4139631.755,325.126,node pt name -2,-79.94903864,37.39879569,325.126,Global,0.025,0.011,0.020,0.028,2.134,m,FIX,RTK,2026-05-28 13:46:52.0 UTC-04:00,2026-05-28 13:47:02.0 UTC-04:00,51,1.8,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,46.544,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
27,,,593021.605,4139633.687,325.196,node pt name -2,-79.94903340,37.39881306,325.196,Global,0.013,0.012,0.028,0.018,2.134,m,FIX,RTK,2026-05-28 13:47:13.8 UTC-04:00,2026-05-28 13:47:23.8 UTC-04:00,51,1.7,2.0,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,48.425,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
28,,,593022.045,4139635.676,324.962,node pt name -2,-79.94902818,37.39883094,324.962,Global,0.011,0.011,0.023,0.016,2.134,m,FIX,RTK,2026-05-28 13:47:35.6 UTC-04:00,2026-05-28 13:47:45.6 UTC-04:00,51,1.4,1.6,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,50.380,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
